"from","to","m","km","miles","seconds","minutes","hours","lon","lat","minutes_discrete","city"
NA,NA,NA,NA,NA,NA,NA,NA,-70.989993,42.288406,NA,"Boston"
"155 Walter St, Boston, MA 02131, USA","1 City Hall Square, Boston, MA 02108, USA",12090,12.09,7.512726,2076,34.6,0.576666666666667,-71.129993,42.293406,"(30,35]","Boston"
"585 South St, Roslindale, MA 02131, USA","1 City Hall Square, Boston, MA 02108, USA",10183,10.183,6.3277162,2165,36.0833333333333,0.601388888888889,-71.124993,42.293406,"(35,40]","Boston"
"7 Elven Rd, Roslindale, MA 02131, USA","1 City Hall Square, Boston, MA 02108, USA",9779,9.779,6.0766706,2112,35.2,0.586666666666667,-71.119993,42.293406,"(35,40]","Boston"
"63 Patten St, Boston, MA 02130, USA","1 City Hall Square, Boston, MA 02108, USA",9652,9.652,5.9977528,2191,36.5166666666667,0.608611111111111,-71.114993,42.293406,"(35,40]","Boston"
"Unnamed Road, Boston, MA 02130, USA","1 City Hall Square, Boston, MA 02108, USA",10103,10.103,6.2780042,1441,24.0166666666667,0.400277777777778,-71.109993,42.293406,"(20,25]","Boston"
"Unnamed Road, Boston, MA 02130, USA","1 City Hall Square, Boston, MA 02108, USA",10103,10.103,6.2780042,1451,24.1833333333333,0.403055555555556,-71.104993,42.293406,"(20,25]","Boston"
"430 Canterbury Lane, Roslindale, MA 02131, USA","1 City Hall Square, Boston, MA 02108, USA",10953,10.953,6.8061942,2062,34.3666666666667,0.572777777777778,-71.099993,42.293406,"(30,35]","Boston"
"American Legion Hwy opp Kingbird Rd, Boston, MA 02124, USA","1 City Hall Square, Boston, MA 02108, USA",10835,10.835,6.732869,1919,31.9833333333333,0.533055555555556,-71.094993,42.293406,"(30,35]","Boston"
"11 Lorne St, Dorchester Center, MA 02124, USA","1 City Hall Square, Boston, MA 02108, USA",13051,13.051,8.1098914,2676,44.6,0.743333333333333,-71.089993,42.293406,"(40,45]","Boston"
"70 Talbot Ave, Boston, MA 02124, USA","1 City Hall Square, Boston, MA 02108, USA",12252,12.252,7.6133928,2411,40.1833333333333,0.669722222222222,-71.084993,42.293406,"(40,45]","Boston"
"57 Bernard St, Boston, MA 02124, USA","1 City Hall Square, Boston, MA 02108, USA",12009,12.009,7.4623926,2357,39.2833333333333,0.654722222222222,-71.079993,42.293406,"(35,40]","Boston"
"57 Wheatland Ave, Dorchester Center, MA 02124, USA","1 City Hall Square, Boston, MA 02108, USA",9901,9.901,6.1524814,2308,38.4666666666667,0.641111111111111,-71.074993,42.293406,"(35,40]","Boston"
"11 Melville Ave, Boston, MA 02124, USA","1 City Hall Square, Boston, MA 02108, USA",9405,9.405,5.844267,1920,32,0.533333333333333,-71.069993,42.293406,"(30,35]","Boston"
"31 Nixon St, Boston, MA 02124, USA","1 City Hall Square, Boston, MA 02108, USA",8995,8.995,5.589493,1751,29.1833333333333,0.486388888888889,-71.064993,42.293406,"(25,30]","Boston"
"34 Whitten St, Dorchester, MA 02122, USA","1 City Hall Square, Boston, MA 02108, USA",9524,9.524,5.9182136,2039,33.9833333333333,0.566388888888889,-71.059993,42.293406,"(30,35]","Boston"
