"from","to","m","km","miles","seconds","minutes","hours","long","lat","minutes_discrete","city"
"180 Old Canterbury Rd, Summer Hill NSW 2130, Australia","483 George St, Sydney NSW 2000, Australia",9122,9.122,5.6684108,1755,29.25,0.4875,151.1391157,-33.8951575,"(25,30]","Sydney"
"2 Toothill St, Lewisham NSW 2049, Australia","483 George St, Sydney NSW 2000, Australia",7982,7.982,4.9600148,1319,21.9833333333333,0.366388888888889,151.1441157,-33.8951575,"(20,25]","Sydney"
"10 The Boulevarde, Lewisham NSW 2049, Australia","483 George St, Sydney NSW 2000, Australia",7879,7.879,4.8960106,1210,20.1666666666667,0.336111111111111,151.1491157,-33.8951575,"(20,25]","Sydney"
"78 Audley St, Petersham NSW 2049, Australia","483 George St, Sydney NSW 2000, Australia",7222,7.222,4.4877508,1183,19.7166666666667,0.328611111111111,151.1541157,-33.8951575,"(15,20]","Sydney"
"11 Hopetoun St, Petersham NSW 2049, Australia","483 George St, Sydney NSW 2000, Australia",7242,7.242,4.5001788,1209,20.15,0.335833333333333,151.1591157,-33.8951575,"(20,25]","Sydney"
"2 Holt St, Stanmore NSW 2048, Australia","483 George St, Sydney NSW 2000, Australia",6127,6.127,3.8073178,920,15.3333333333333,0.255555555555556,151.1641157,-33.8951575,"(15,20]","Sydney"
"93 Trafalgar St, Stanmore NSW 2048, Australia","483 George St, Sydney NSW 2000, Australia",6538,6.538,4.0627132,1171,19.5166666666667,0.325277777777778,151.1691157,-33.8951575,"(15,20]","Sydney"
"51 Baltic St, Newtown NSW 2042, Australia","483 George St, Sydney NSW 2000, Australia",5254,5.254,3.2648356,1270,21.1666666666667,0.352777777777778,151.1741157,-33.8951575,"(20,25]","Sydney"
"189 Church St, Newtown NSW 2042, Australia","483 George St, Sydney NSW 2000, Australia",5272,5.272,3.2760208,1096,18.2666666666667,0.304444444444444,151.1791157,-33.8951575,"(15,20]","Sydney"
"55 Bucknell Ln, Newtown NSW 2042, Australia","483 George St, Sydney NSW 2000, Australia",4467,4.467,2.7757938,863,14.3833333333333,0.239722222222222,151.1841157,-33.8951575,"(10,15]","Sydney"
"229 Wilson St, Eveleigh NSW 2015, Australia","483 George St, Sydney NSW 2000, Australia",4743,4.743,2.9473002,1076,17.9333333333333,0.298888888888889,151.1891157,-33.8951575,"(15,20]","Sydney"
"4 Lawson Street, Eveleigh NSW 2015, Australia","483 George St, Sydney NSW 2000, Australia",2761,2.761,1.7156854,476,7.93333333333333,0.132222222222222,151.1941157,-33.8951575,"(5,10]","Sydney"
"6 Botany Rd, Alexandria NSW 2015, Australia","483 George St, Sydney NSW 2000, Australia",3204,3.204,1.9909656,794,13.2333333333333,0.220555555555556,151.1991157,-33.8951575,"(10,15]","Sydney"
"44 Douglas St, Redfern NSW 2016, Australia","483 George St, Sydney NSW 2000, Australia",3443,3.443,2.1394802,1011,16.85,0.280833333333333,151.2041157,-33.8951575,"(15,20]","Sydney"
"44 Morehead St, Redfern NSW 2016, Australia","483 George St, Sydney NSW 2000, Australia",3697,3.697,2.2973158,1243,20.7166666666667,0.345277777777778,151.2091157,-33.8951575,"(20,25]","Sydney"
"51 Maddison St, Redfern NSW 2016, Australia","483 George St, Sydney NSW 2000, Australia",3362,3.362,2.0891468,1370,22.8333333333333,0.380555555555556,151.2141157,-33.8951575,"(20,25]","Sydney"
"1B Cleveland St, Moore Park NSW 2021, Australia","483 George St, Sydney NSW 2000, Australia",3393,3.393,2.1084102,1053,17.55,0.2925,151.2191157,-33.8951575,"(15,20]","Sydney"
"1 Driver Ave, Moore Park NSW 2021, Australia","483 George St, Sydney NSW 2000, Australia",3706,3.706,2.3029084,1337,22.2833333333333,0.371388888888889,151.2241157,-33.8951575,"(20,25]","Sydney"
"Unit 20/121-125 Cook Rd, Centennial Park NSW 2021, Australia","483 George St, Sydney NSW 2000, Australia",8069,8.069,5.0140766,1908,31.8,0.53,151.2291157,-33.8951575,"(30,35]","Sydney"
"Banksia Way, Centennial Park NSW 2021, Australia","483 George St, Sydney NSW 2000, Australia",4105,4.105,2.550847,1919,31.9833333333333,0.533055555555556,151.2341157,-33.8951575,"(30,35]","Sydney"
"The Federation Pavilion Federation Valley, Loch Ave, Centennial Park NSW 2021, Australia","483 George St, Sydney NSW 2000, Australia",6975,6.975,4.334265,1760,29.3333333333333,0.488888888888889,151.2391157,-33.8951575,"(25,30]","Sydney"
"137 Denison St, Bondi Junction NSW 2022, Australia","483 George St, Sydney NSW 2000, Australia",6444,6.444,4.0043016,1344,22.4,0.373333333333333,151.2441157,-33.8951575,"(20,25]","Sydney"
"49 Brisbane St, Bondi Junction NSW 2022, Australia","483 George St, Sydney NSW 2000, Australia",6293,6.293,3.9104702,1130,18.8333333333333,0.313888888888889,151.2491157,-33.8951575,"(15,20]","Sydney"
"49 Allens Parade, Bondi Junction NSW 2022, Australia","483 George St, Sydney NSW 2000, Australia",6540,6.54,4.063956,1313,21.8833333333333,0.364722222222222,151.2541157,-33.8951575,"(20,25]","Sydney"
"21 Park Parade, Bondi NSW 2026, Australia","483 George St, Sydney NSW 2000, Australia",7230,7.23,4.492722,1847,30.7833333333333,0.513055555555556,151.2591157,-33.8951575,"(30,35]","Sydney"
"5 Coulton St, Bondi NSW 2026, Australia","483 George St, Sydney NSW 2000, Australia",7532,7.532,4.6803848,1988,33.1333333333333,0.552222222222222,151.2641157,-33.8951575,"(30,35]","Sydney"
"295 Bondi Rd, Bondi NSW 2026, Australia","483 George St, Sydney NSW 2000, Australia",7864,7.864,4.8866896,2223,37.05,0.6175,151.2691157,-33.8951575,"(35,40]","Sydney"
"14 Notts Ave, Bondi Beach NSW 2026, Australia","483 George St, Sydney NSW 2000, Australia",8506,8.506,5.2856284,2215,36.9166666666667,0.615277777777778,151.2741157,-33.8951575,"(35,40]","Sydney"
"104 Carlton Cres, Summer Hill NSW 2130, Australia","483 George St, Sydney NSW 2000, Australia",8875,8.875,5.514925,1484,24.7333333333333,0.412222222222222,151.1341157,-33.8901575,"(20,25]","Sydney"
"1 Sloane St, Summer Hill NSW 2130, Australia","483 George St, Sydney NSW 2000, Australia",8441,8.441,5.2452374,1185,19.75,0.329166666666667,151.1391157,-33.8901575,"(15,20]","Sydney"
"37 Dover St, Summer Hill NSW 2130, Australia","483 George St, Sydney NSW 2000, Australia",8953,8.953,5.5633942,1668,27.8,0.463333333333333,151.1441157,-33.8901575,"(25,30]","Sydney"
"7 West St, Petersham NSW 2049, Australia","483 George St, Sydney NSW 2000, Australia",7964,7.964,4.9488296,1322,22.0333333333333,0.367222222222222,151.1491157,-33.8901575,"(20,25]","Sydney"
"12 Palace St, Petersham NSW 2049, Australia","483 George St, Sydney NSW 2000, Australia",7391,7.391,4.5927674,1336,22.2666666666667,0.371111111111111,151.1541157,-33.8901575,"(20,25]","Sydney"
"25 Robert St, Petersham NSW 2049, Australia","483 George St, Sydney NSW 2000, Australia",7496,7.496,4.6580144,1414,23.5666666666667,0.392777777777778,151.1591157,-33.8901575,"(20,25]","Sydney"
"9 Cannon St, Stanmore NSW 2048, Australia","483 George St, Sydney NSW 2000, Australia",6591,6.591,4.0956474,1220,20.3333333333333,0.338888888888889,151.1641157,-33.8901575,"(20,25]","Sydney"
"48 Albany Rd, Stanmore NSW 2048, Australia","483 George St, Sydney NSW 2000, Australia",6775,6.775,4.209985,1395,23.25,0.3875,151.1691157,-33.8901575,"(20,25]","Sydney"
"1 Derby St, Camperdown NSW 2050, Australia","483 George St, Sydney NSW 2000, Australia",5641,5.641,3.5053174,1628,27.1333333333333,0.452222222222222,151.1741157,-33.8901575,"(25,30]","Sydney"
"111-113 Church St, Camperdown NSW 2050, Australia","483 George St, Sydney NSW 2000, Australia",5521,5.521,3.4307494,1533,25.55,0.425833333333333,151.1791157,-33.8901575,"(25,30]","Sydney"
"Cadigal Ln, Camperdown NSW 2006, Australia","483 George St, Sydney NSW 2000, Australia",4082,4.082,2.5365548,1776,29.6,0.493333333333333,151.1841157,-33.8901575,"(25,30]","Sydney"
"9 City Rd, Camperdown NSW 2050, Australia","483 George St, Sydney NSW 2000, Australia",3446,3.446,2.1413444,1303,21.7166666666667,0.361944444444444,151.1891157,-33.8901575,"(20,25]","Sydney"
"54 Calder Rd, Darlington NSW 2008, Australia","483 George St, Sydney NSW 2000, Australia",3371,3.371,2.0947394,958,15.9666666666667,0.266111111111111,151.1941157,-33.8901575,"(15,20]","Sydney"
"11 Louis St, Redfern NSW 2016, Australia","483 George St, Sydney NSW 2000, Australia",3110,3.11,1.932554,763,12.7166666666667,0.211944444444444,151.1991157,-33.8901575,"(10,15]","Sydney"
"6 Pitt St, Redfern NSW 2016, Australia","483 George St, Sydney NSW 2000, Australia",3343,3.343,2.0773402,946,15.7666666666667,0.262777777777778,151.2041157,-33.8901575,"(15,20]","Sydney"
"312 Cleveland St, Surry Hills NSW 2010, Australia","483 George St, Sydney NSW 2000, Australia",2330,2.33,1.447862,929,15.4833333333333,0.258055555555556,151.2091157,-33.8901575,"(15,20]","Sydney"
"8 Nickson St, Surry Hills NSW 2010, Australia","483 George St, Sydney NSW 2000, Australia",2737,2.737,1.7007718,1106,18.4333333333333,0.307222222222222,151.2141157,-33.8901575,"(15,20]","Sydney"
"1762 Anzac Parade, Moore Park NSW 2021, Australia","483 George St, Sydney NSW 2000, Australia",2618,2.618,1.6268252,1281,21.35,0.355833333333333,151.2191157,-33.8901575,"(20,25]","Sydney"
"Indoor Cricket Stadium, Moore Park NSW 2021, Australia","483 George St, Sydney NSW 2000, Australia",3229,3.229,2.0065006,1590,26.5,0.441666666666667,151.2241157,-33.8901575,"(25,30]","Sydney"
"11a Poate Rd, Centennial Park NSW 2021, Australia","483 George St, Sydney NSW 2000, Australia",3525,3.525,2.190435,1565,26.0833333333333,0.434722222222222,151.2291157,-33.8901575,"(25,30]","Sydney"
"65 Oxford St, Centennial Park NSW 2021, Australia","483 George St, Sydney NSW 2000, Australia",3505,3.505,2.178007,1418,23.6333333333333,0.393888888888889,151.2341157,-33.8901575,"(20,25]","Sydney"
"170 Oxford St, Woollahra NSW 2025, Australia","483 George St, Sydney NSW 2000, Australia",4605,4.605,2.861547,1735,28.9166666666667,0.481944444444444,151.2391157,-33.8901575,"(25,30]","Sydney"
"13 Grafton St, Bondi Junction NSW 2022, Australia","483 George St, Sydney NSW 2000, Australia",6108,6.108,3.7955112,1010,16.8333333333333,0.280555555555556,151.2441157,-33.8901575,"(15,20]","Sydney"
"56 Grosvenor St, Woollahra NSW 2025, Australia","483 George St, Sydney NSW 2000, Australia",5906,5.906,3.6699884,894,14.9,0.248333333333333,151.2491157,-33.8901575,"(10,15]","Sydney"
"82 Old South Head Rd, Woollahra NSW 2025, Australia","483 George St, Sydney NSW 2000, Australia",6346,6.346,3.9434044,1188,19.8,0.33,151.2541157,-33.8901575,"(15,20]","Sydney"
"5 Flood St, Bondi NSW 2026, Australia","483 George St, Sydney NSW 2000, Australia",7024,7.024,4.3647136,1592,26.5333333333333,0.442222222222222,151.2591157,-33.8901575,"(25,30]","Sydney"
"79 Edward St, Bondi Beach NSW 2026, Australia","483 George St, Sydney NSW 2000, Australia",7864,7.864,4.8866896,1984,33.0666666666667,0.551111111111111,151.2641157,-33.8901575,"(30,35]","Sydney"
"63 Lamrock Ave, Bondi Beach NSW 2026, Australia","483 George St, Sydney NSW 2000, Australia",8014,8.014,4.9798996,2030,33.8333333333333,0.563888888888889,151.2691157,-33.8901575,"(30,35]","Sydney"
"95 Roscoe St, Bondi Beach NSW 2026, Australia","483 George St, Sydney NSW 2000, Australia",8904,8.904,5.5329456,2223,37.05,0.6175,151.2741157,-33.8901575,"(35,40]","Sydney"
"Orpington St & Parramatta Road, Ashfield NSW 2131, Australia","483 George St, Sydney NSW 2000, Australia",9269,9.269,5.7597566,1880,31.3333333333333,0.522222222222222,151.1341157,-33.8851575,"(30,35]","Sydney"
"14 Nicholls Ave, Haberfield NSW 2045, Australia","483 George St, Sydney NSW 2000, Australia",9283,9.283,5.7684562,1933,32.2166666666667,0.536944444444444,151.1391157,-33.8851575,"(30,35]","Sydney"
"101 Hawthorne Parade, Haberfield NSW 2045, Australia","483 George St, Sydney NSW 2000, Australia",9216,9.216,5.7268224,1908,31.8,0.53,151.1441157,-33.8851575,"(30,35]","Sydney"
"Shopping Ctr, Flood St, Leichhardt NSW 2040, Australia","483 George St, Sydney NSW 2000, Australia",7364,7.364,4.5759896,2010,33.5,0.558333333333333,151.1491157,-33.8851575,"(30,35]","Sydney"
"59 Cary St, Leichhardt NSW 2040, Australia","483 George St, Sydney NSW 2000, Australia",8070,8.07,5.014698,1979,32.9833333333333,0.549722222222222,151.1541157,-33.8851575,"(30,35]","Sydney"
"70 Balmain Rd, Leichhardt NSW 2040, Australia","483 George St, Sydney NSW 2000, Australia",6196,6.196,3.8501944,2022,33.7,0.561666666666667,151.1591157,-33.8851575,"(30,35]","Sydney"
"45 South Ave, Leichhardt NSW 2040, Australia","483 George St, Sydney NSW 2000, Australia",7336,7.336,4.5585904,1904,31.7333333333333,0.528888888888889,151.1641157,-33.8851575,"(30,35]","Sydney"
"33 Johnston St, Annandale NSW 2038, Australia","483 George St, Sydney NSW 2000, Australia",5553,5.553,3.4506342,1892,31.5333333333333,0.525555555555556,151.1691157,-33.8851575,"(30,35]","Sydney"
"17 Chester St, Annandale NSW 2038, Australia","483 George St, Sydney NSW 2000, Australia",4964,4.964,3.0846296,1388,23.1333333333333,0.385555555555556,151.1741157,-33.8851575,"(20,25]","Sydney"
"27 Barr St, Camperdown NSW 2050, Australia","483 George St, Sydney NSW 2000, Australia",4425,4.425,2.749695,1607,26.7833333333333,0.446388888888889,151.1791157,-33.8851575,"(25,30]","Sydney"
"40 Parramatta Rd, Forest Lodge NSW 2037, Australia","483 George St, Sydney NSW 2000, Australia",3583,3.583,2.2264762,1393,23.2166666666667,0.386944444444444,151.1841157,-33.8851575,"(20,25]","Sydney"
"Macleay Building, Camperdown NSW 2050, Australia","483 George St, Sydney NSW 2000, Australia",3474,3.474,2.1587436,1340,22.3333333333333,0.372222222222222,151.1891157,-33.8851575,"(20,25]","Sydney"
"22 Princes Hwy, Camperdown NSW 2050, Australia","483 George St, Sydney NSW 2000, Australia",3761,3.761,2.3370854,1444,24.0666666666667,0.401111111111111,151.1941157,-33.8851575,"(20,25]","Sydney"
"6 Central Park Ave, Chippendale NSW 2008, Australia","483 George St, Sydney NSW 2000, Australia",2413,2.413,1.4994382,1128,18.8,0.313333333333333,151.1991157,-33.8851575,"(15,20]","Sydney"
"Central Station, Eddy Ave, Haymarket NSW 2000, Australia","483 George St, Sydney NSW 2000, Australia",1688,1.688,1.0489232,330,5.5,0.0916666666666667,151.2041157,-33.8851575,"(5,10]","Sydney"
"16-22 Cooper St, Surry Hills NSW 2010, Australia","483 George St, Sydney NSW 2000, Australia",1764,1.764,1.0961496,536,8.93333333333333,0.148888888888889,151.2091157,-33.8851575,"(5,10]","Sydney"
"428 Crown St, Surry Hills NSW 2010, Australia","483 George St, Sydney NSW 2000, Australia",2199,2.199,1.3664586,907,15.1166666666667,0.251944444444444,151.2141157,-33.8851575,"(15,20]","Sydney"
"41 Selwyn St, Paddington NSW 2021, Australia","483 George St, Sydney NSW 2000, Australia",2300,2.3,1.42922,1009,16.8166666666667,0.280277777777778,151.2191157,-33.8851575,"(15,20]","Sydney"
"243 Oxford St, Paddington NSW 2021, Australia","483 George St, Sydney NSW 2000, Australia",2355,2.355,1.463397,943,15.7166666666667,0.261944444444444,151.2241157,-33.8851575,"(15,20]","Sydney"
"4 Albert Square, Paddington NSW 2021, Australia","483 George St, Sydney NSW 2000, Australia",3073,3.073,1.9095622,1269,21.15,0.3525,151.2291157,-33.8851575,"(20,25]","Sydney"
"98 Windsor St, Paddington NSW 2021, Australia","483 George St, Sydney NSW 2000, Australia",3634,3.634,2.2581676,1216,20.2666666666667,0.337777777777778,151.2341157,-33.8851575,"(20,25]","Sydney"
"66 Ocean St, Woollahra NSW 2025, Australia","483 George St, Sydney NSW 2000, Australia",4548,4.548,2.8261272,1079,17.9833333333333,0.299722222222222,151.2391157,-33.8851575,"(15,20]","Sydney"
"25 Roslyndale Ave, Woollahra NSW 2025, Australia","483 George St, Sydney NSW 2000, Australia",4863,4.863,3.0218682,1385,23.0833333333333,0.384722222222222,151.2441157,-33.8851575,"(20,25]","Sydney"
"7 Northland Rd, Bellevue Hill NSW 2023, Australia","483 George St, Sydney NSW 2000, Australia",6881,6.881,4.2758534,1727,28.7833333333333,0.479722222222222,151.2491157,-33.8851575,"(25,30]","Sydney"
"11 Cooper Park Rd, Bellevue Hill NSW 2023, Australia","483 George St, Sydney NSW 2000, Australia",6884,6.884,4.2777176,2096,34.9333333333333,0.582222222222222,151.2541157,-33.8851575,"(30,35]","Sydney"
"164 Victoria Rd, Bellevue Hill NSW 2023, Australia","483 George St, Sydney NSW 2000, Australia",7204,7.204,4.4765656,1702,28.3666666666667,0.472777777777778,151.2591157,-33.8851575,"(25,30]","Sydney"
"6 Bundarra Rd, Bellevue Hill NSW 2023, Australia","483 George St, Sydney NSW 2000, Australia",7866,7.866,4.8879324,1748,29.1333333333333,0.485555555555556,151.2641157,-33.8851575,"(25,30]","Sydney"
"6 Blair St, North Bondi NSW 2026, Australia","483 George St, Sydney NSW 2000, Australia",8628,8.628,5.3614392,2375,39.5833333333333,0.659722222222222,151.2691157,-33.8851575,"(35,40]","Sydney"
"83-85 Glenayr Ave, North Bondi NSW 2026, Australia","483 George St, Sydney NSW 2000, Australia",8635,8.635,5.365789,2366,39.4333333333333,0.657222222222222,151.2741157,-33.8851575,"(35,40]","Sydney"
"149A Bland St, Haberfield NSW 2045, Australia","483 George St, Sydney NSW 2000, Australia",9369,9.369,5.8218966,2719,45.3166666666667,0.755277777777778,151.1341157,-33.8801575,"(45,50]","Sydney"
"147 Ramsay St, Haberfield NSW 2045, Australia","483 George St, Sydney NSW 2000, Australia",8520,8.52,5.294328,2301,38.35,0.639166666666667,151.1391157,-33.8801575,"(35,40]","Sydney"
"73 O'Connor St, Haberfield NSW 2045, Australia","483 George St, Sydney NSW 2000, Australia",8557,8.557,5.3173198,2370,39.5,0.658333333333333,151.1441157,-33.8801575,"(35,40]","Sydney"
"159 Allen St, Leichhardt NSW 2040, Australia","483 George St, Sydney NSW 2000, Australia",10188,10.188,6.3308232,2398,39.9666666666667,0.666111111111111,151.1491157,-33.8801575,"(35,40]","Sydney"
"Unit 7/69 Allen St, Leichhardt NSW 2040, Australia","483 George St, Sydney NSW 2000, Australia",7218,7.218,4.4852652,2351,39.1833333333333,0.653055555555556,151.1541157,-33.8801575,"(35,40]","Sydney"
"171 Balmain Rd, Leichhardt NSW 2040, Australia","483 George St, Sydney NSW 2000, Australia",7119,7.119,4.4237466,2230,37.1666666666667,0.619444444444444,151.1591157,-33.8801575,"(35,40]","Sydney"
"233 Catherine St, Leichhardt NSW 2040, Australia","483 George St, Sydney NSW 2000, Australia",6170,6.17,3.834038,2439,40.65,0.6775,151.1641157,-33.8801575,"(40,45]","Sydney"
"200 Annandale St, Annandale NSW 2038, Australia","483 George St, Sydney NSW 2000, Australia",5831,5.831,3.6233834,2370,39.5,0.658333333333333,151.1691157,-33.8801575,"(35,40]","Sydney"
"212 Nelson St, Annandale NSW 2038, Australia","483 George St, Sydney NSW 2000, Australia",5406,5.406,3.3592884,2297,38.2833333333333,0.638055555555556,151.1741157,-33.8801575,"(35,40]","Sydney"
"8 Grattan Close, Forest Lodge NSW 2037, Australia","483 George St, Sydney NSW 2000, Australia",4830,4.83,3.001362,1538,25.6333333333333,0.427222222222222,151.1791157,-33.8801575,"(25,30]","Sydney"
"5 St James Ave, Glebe NSW 2037, Australia","483 George St, Sydney NSW 2000, Australia",3980,3.98,2.473172,1653,27.55,0.459166666666667,151.1841157,-33.8801575,"(25,30]","Sydney"
"102 St Johns Rd, Glebe NSW 2037, Australia","483 George St, Sydney NSW 2000, Australia",3570,3.57,2.218398,1479,24.65,0.410833333333333,151.1891157,-33.8801575,"(20,25]","Sydney"
"24 Wentworth St, Glebe NSW 2037, Australia","483 George St, Sydney NSW 2000, Australia",3115,3.115,1.935661,1471,24.5166666666667,0.408611111111111,151.1941157,-33.8801575,"(20,25]","Sydney"
"344 Bulwara Rd, Ultimo NSW 2007, Australia","483 George St, Sydney NSW 2000, Australia",2599,2.599,1.6150186,1407,23.45,0.390833333333333,151.1991157,-33.8801575,"(20,25]","Sydney"
"9-13 Hay St, Haymarket NSW 2000, Australia","483 George St, Sydney NSW 2000, Australia",890,0.89,0.553046,713,11.8833333333333,0.198055555555556,151.2041157,-33.8801575,"(10,15]","Sydney"
"210 Elizabeth St, Surry Hills NSW 2010, Australia","483 George St, Sydney NSW 2000, Australia",1256,1.256,0.7804784,659,10.9833333333333,0.183055555555556,151.2091157,-33.8801575,"(10,15]","Sydney"
"56 Lower Campbell St, Surry Hills NSW 2010, Australia","483 George St, Sydney NSW 2000, Australia",1534,1.534,0.9532276,722,12.0333333333333,0.200555555555556,151.2141157,-33.8801575,"(10,15]","Sydney"
"303 Victoria St, Darlinghurst NSW 2010, Australia","483 George St, Sydney NSW 2000, Australia",1896,1.896,1.1781744,847,14.1166666666667,0.235277777777778,151.2191157,-33.8801575,"(10,15]","Sydney"
"38 Glenview St, Paddington NSW 2021, Australia","483 George St, Sydney NSW 2000, Australia",3117,3.117,1.9369038,1028,17.1333333333333,0.285555555555556,151.2241157,-33.8801575,"(15,20]","Sydney"
"44 Lawson St, Paddington NSW 2021, Australia","483 George St, Sydney NSW 2000, Australia",2952,2.952,1.8343728,1331,22.1833333333333,0.369722222222222,151.2291157,-33.8801575,"(20,25]","Sydney"
"8 New McLean St, Edgecliff NSW 2027, Australia","483 George St, Sydney NSW 2000, Australia",3946,3.946,2.4520444,689,11.4833333333333,0.191388888888889,151.2341157,-33.8801575,"(10,15]","Sydney"
"442-446 Edgecliff Rd, Edgecliff NSW 2027, Australia","483 George St, Sydney NSW 2000, Australia",4038,4.038,2.5092132,752,12.5333333333333,0.208888888888889,151.2391157,-33.8801575,"(10,15]","Sydney"
"1 Forest Rd, Double Bay NSW 2028, Australia","483 George St, Sydney NSW 2000, Australia",4608,4.608,2.8634112,1266,21.1,0.351666666666667,151.2441157,-33.8801575,"(20,25]","Sydney"
"137 Bellevue Rd, Bellevue Hill NSW 2023, Australia","483 George St, Sydney NSW 2000, Australia",4578,4.578,2.8447692,1813,30.2166666666667,0.503611111111111,151.2491157,-33.8801575,"(30,35]","Sydney"
"14 Mansion Rd, Bellevue Hill NSW 2023, Australia","483 George St, Sydney NSW 2000, Australia",6568,6.568,4.0813552,1817,30.2833333333333,0.504722222222222,151.2541157,-33.8801575,"(30,35]","Sydney"
"70 Drumalbyn Rd, Bellevue Hill NSW 2023, Australia","483 George St, Sydney NSW 2000, Australia",6916,6.916,4.2976024,1877,31.2833333333333,0.521388888888889,151.2591157,-33.8801575,"(30,35]","Sydney"
"183 O'Sullivan Rd, Bellevue Hill NSW 2023, Australia","483 George St, Sydney NSW 2000, Australia",8377,8.377,5.2054678,2512,41.8666666666667,0.697777777777778,151.2641157,-33.8801575,"(40,45]","Sydney"
"401 Old South Head Rd, North Bondi NSW 2026, Australia","483 George St, Sydney NSW 2000, Australia",8784,8.784,5.4583776,2386,39.7666666666667,0.662777777777778,151.2691157,-33.8801575,"(35,40]","Sydney"
"21 Stewart St, North Bondi NSW 2026, Australia","483 George St, Sydney NSW 2000, Australia",9357,9.357,5.8144398,2305,38.4166666666667,0.640277777777778,151.2741157,-33.8801575,"(35,40]","Sydney"
"164 Ramsay St, Haberfield NSW 2045, Australia","483 George St, Sydney NSW 2000, Australia",9212,9.212,5.7243368,2303,38.3833333333333,0.639722222222222,151.1341157,-33.8751575,"(35,40]","Sydney"
"1 Miller St, Haberfield NSW 2045, Australia","483 George St, Sydney NSW 2000, Australia",9462,9.462,5.8796868,2442,40.7,0.678333333333333,151.1391157,-33.8751575,"(40,45]","Sydney"
"9 Dudley St, Haberfield NSW 2045, Australia","483 George St, Sydney NSW 2000, Australia",9352,9.352,5.8113328,2603,43.3833333333333,0.723055555555556,151.1441157,-33.8751575,"(40,45]","Sydney"
"1 Canal Rd, Leichhardt NSW 2040, Australia","483 George St, Sydney NSW 2000, Australia",8554,8.554,5.3154556,2406,40.1,0.668333333333333,151.1491157,-33.8751575,"(40,45]","Sydney"
"7 Darley Rd, Lilyfield NSW 2040, Australia","483 George St, Sydney NSW 2000, Australia",6527,6.527,4.0558778,2573,42.8833333333333,0.714722222222222,151.1541157,-33.8751575,"(40,45]","Sydney"
"25 Derbyshire Rd, Leichhardt NSW 2040, Australia","483 George St, Sydney NSW 2000, Australia",6620,6.62,4.113668,2587,43.1166666666667,0.718611111111111,151.1591157,-33.8751575,"(40,45]","Sydney"
"26 Lonsdale St, Lilyfield NSW 2040, Australia","483 George St, Sydney NSW 2000, Australia",6588,6.588,4.0937832,2487,41.45,0.690833333333333,151.1641157,-33.8751575,"(40,45]","Sydney"
"12 Brenan St, Lilyfield NSW 2040, Australia","483 George St, Sydney NSW 2000, Australia",4781,4.781,2.9709134,1739,28.9833333333333,0.483055555555556,151.1691157,-33.8751575,"(25,30]","Sydney"
"196 View St, Annandale NSW 2038, Australia","483 George St, Sydney NSW 2000, Australia",4718,4.718,2.9317652,1386,23.1,0.385,151.1741157,-33.8751575,"(20,25]","Sydney"
"5 Victoria Rd, Glebe NSW 2037, Australia","483 George St, Sydney NSW 2000, Australia",4687,4.687,2.9125018,1875,31.25,0.520833333333333,151.1791157,-33.8751575,"(30,35]","Sydney"
"3 Charlton Way, Glebe NSW 2037, Australia","483 George St, Sydney NSW 2000, Australia",4144,4.144,2.5750816,1646,27.4333333333333,0.457222222222222,151.1841157,-33.8751575,"(25,30]","Sydney"
"1 Bridge Rd, Glebe NSW 2037, Australia","483 George St, Sydney NSW 2000, Australia",4347,4.347,2.7012258,1987,33.1166666666667,0.551944444444444,151.1891157,-33.8751575,"(30,35]","Sydney"
"14-26 Wattle Cres, Pyrmont NSW 2009, Australia","483 George St, Sydney NSW 2000, Australia",2559,2.559,1.5901626,1487,24.7833333333333,0.413055555555556,151.1941157,-33.8751575,"(20,25]","Sydney"
"14 Darling Dr, Sydney NSW 2000, Australia","483 George St, Sydney NSW 2000, Australia",1367,1.367,0.8494538,1050,17.5,0.291666666666667,151.1991157,-33.8751575,"(15,20]","Sydney"
"325 Sussex St, Sydney NSW 2000, Australia","483 George St, Sydney NSW 2000, Australia",487,0.487,0.3026218,398,6.63333333333333,0.110555555555556,151.2041157,-33.8751575,"(5,10]","Sydney"
"Telstra Deliveries, Telstra House, 231 Elizabeth St, Sydney NSW 2000, Australia","483 George St, Sydney NSW 2000, Australia",439,0.439,0.2727946,323,5.38333333333333,0.0897222222222222,151.2091157,-33.8751575,"(5,10]","Sydney"
"Palladium, Darlinghurst NSW 2010, Australia","483 George St, Sydney NSW 2000, Australia",34886,34.886,21.6781604,4262,71.0333333333333,1.18388888888889,151.2141157,-33.8751575,"(70,75]","Sydney"
"Forbes Street and, William St, Darlinghurst NSW 2010, Australia","483 George St, Sydney NSW 2000, Australia",1214,1.214,0.7543796,495,8.25,0.1375,151.2191157,-33.8751575,"(5,10]","Sydney"
"33 Bayswater Rd, Potts Point NSW 2011, Australia","483 George St, Sydney NSW 2000, Australia",2522,2.522,1.5671708,523,8.71666666666667,0.145277777777778,151.2241157,-33.8751575,"(5,10]","Sydney"
"1A Clement Pl, Rushcutters Bay NSW 2011, Australia","483 George St, Sydney NSW 2000, Australia",2690,2.69,1.671566,1164,19.4,0.323333333333333,151.2291157,-33.8751575,"(15,20]","Sydney"
